state,candidate_name,weighted_avg_pct,electoral_votes
**National,Donald Trump,42.72084305261596,0
Alabama,Donald Trump,55.73646961122048,9
Alaska,Donald Trump,47.56045428219112,3
Arizona,Donald Trump,43.488646662059104,11
Arkansas,Donald Trump,54.77709539527081,6
California,Kamala Harris,51.28376126087928,54
Colorado,Kamala Harris,47.576975258306206,10
Connecticut,Kamala Harris,49.1,7
Delaware,Kamala Harris,46.00000000000001,3
District of Columbia,Kamala Harris,90.0,3
Florida,Donald Trump,47.86115895141194,30
Georgia,Donald Trump,46.616370163948545,16
Hawaii,Kamala Harris,46.24026536370142,4
Idaho,Donald Trump,53.8,4
Illinois,Kamala Harris,49.41494738962646,19
Indiana,Donald Trump,51.83903160307771,11
Iowa,Donald Trump,48.3596966398271,6
Kansas,Donald Trump,43.8,6
Kentucky,Donald Trump,51.5,8
Louisiana,Donald Trump,50.025461509865465,8
Maine,Kamala Harris,42.788640932822496,2
Maine CD-1,Kamala Harris,55.86989055739373,1
Maine CD-2,Donald Trump,46.36827430899975,1
Maryland,Kamala Harris,52.22271439419011,10
Massachusetts,Kamala Harris,46.971570787016965,11
Michigan,Donald Trump,44.50761384314301,15
Minnesota,Kamala Harris,46.620052084837404,10
Mississippi,Donald Trump,50.0,6
Missouri,Donald Trump,54.45751467617043,10
Montana,Donald Trump,54.44756939556466,4
Nebraska,Donald Trump,48.19031632226886,4
Nebraska CD-2,Kamala Harris,45.965021265668426,1
Nevada,Donald Trump,44.34318832447147,6
New Hampshire,Kamala Harris,46.88827392593521,4
New Jersey,Kamala Harris,55.0,14
New Mexico,Kamala Harris,47.76298739427142,5
New York,Kamala Harris,50.3802582800792,28
North Carolina,Donald Trump,45.36898589120379,16
North Dakota,Donald Trump,60.87025398191994,3
Ohio,Donald Trump,49.29288115642232,17
Oklahoma,Donald Trump,56.097666062627866,7
Oregon,Kamala Harris,46.899578208258035,8
Pennsylvania,Donald Trump,44.107040969697024,19
Rhode Island,Kamala Harris,40.0,4
South Carolina,Donald Trump,50.276223317225224,9
South Dakota,Donald Trump,50.32874185949373,3
Tennessee,Donald Trump,51.58113388612894,11
Texas,Donald Trump,47.8309614344635,40
Utah,Donald Trump,44.16895518081056,6
Vermont,Kamala Harris,67.53391404078626,3
Virginia,Kamala Harris,45.642923554530874,13
Washington,Kamala Harris,44.49553419434166,12
West Virginia,Donald Trump,59.34551004147695,4
Wisconsin,Kamala Harris,45.591623433174384,10
Wyoming,Donald Trump,52.599999999999994,3
