state,candidate_name,weighted_avg_pct,electoral_votes
**National,Kamala Harris,45.65775712168767,0
Alabama,Donald Trump,55.95931848969013,9
Alaska,Donald Trump,50.80903454052787,3
Arizona,Donald Trump,46.9611655739461,11
Arkansas,Donald Trump,51.98810812839882,6
California,Kamala Harris,54.22165819563167,54
Colorado,Kamala Harris,48.27798032180304,10
Connecticut,Kamala Harris,51.982281276188544,7
Delaware,Kamala Harris,53.0096649224403,3
District of Columbia,Kamala Harris,90.0,3
Florida,Donald Trump,49.356291634924844,30
Georgia,Donald Trump,47.27239414694874,16
Hawaii,Kamala Harris,46.503134737603354,4
Idaho,Donald Trump,53.8,4
Illinois,Kamala Harris,53.78789930754007,19
Indiana,Donald Trump,54.66972284098176,11
Iowa,Donald Trump,48.59453299490435,6
Kansas,Donald Trump,43.8,6
Kentucky,Donald Trump,51.5,8
Louisiana,Donald Trump,50.28343442838844,8
Maine,Kamala Harris,48.378921741083225,2
Maine CD-1,Kamala Harris,58.62560372130947,1
Maine CD-2,Donald Trump,46.95236246602613,1
Maryland,Kamala Harris,58.57228664677234,10
Massachusetts,Kamala Harris,55.927143343530865,11
Michigan,Kamala Harris,45.89824165381873,15
Minnesota,Kamala Harris,47.23908103085333,10
Mississippi,Donald Trump,49.99999999999999,6
Missouri,Donald Trump,52.59661797967733,10
Montana,Donald Trump,55.04709955497299,4
Nebraska,Donald Trump,54.1826599175493,4
Nebraska CD-2,Kamala Harris,49.035883056722454,1
Nevada,Donald Trump,45.861468129371126,6
New Hampshire,Kamala Harris,49.39403376263236,4
New Jersey,Kamala Harris,57.13972996074261,14
New Mexico,Kamala Harris,48.86456585298184,5
New York,Kamala Harris,51.10477928793019,28
North Carolina,Donald Trump,47.22377475543068,16
North Dakota,Donald Trump,55.929406543622626,3
Ohio,Donald Trump,50.87284625399846,17
Oklahoma,Donald Trump,58.09776223556733,7
Oregon,Kamala Harris,47.815818962233045,8
Pennsylvania,Kamala Harris,46.546366690992876,19
Rhode Island,Kamala Harris,51.0987090196117,4
South Carolina,Donald Trump,51.54174024101427,9
South Dakota,Donald Trump,53.44061162009331,3
Tennessee,Donald Trump,54.861179091699015,11
Texas,Donald Trump,48.79115405407167,40
Utah,Donald Trump,52.275134842984436,6
Vermont,Kamala Harris,65.85709074023744,3
Virginia,Kamala Harris,45.55530320963449,13
Washington,Kamala Harris,51.89407300970292,12
West Virginia,Donald Trump,58.12074235046625,4
Wisconsin,Kamala Harris,46.96612846916082,10
Wyoming,Donald Trump,52.6,3
